company_name,siret,vat_number,address_line_1,address_line_2,postal_code,city,country,naf_code
PASSIONNEMENT GLAMOUR,00545009300033,FR68005450093,AVENUE DES THERMES,LE PASSY,04800,GREOUX-LES-BAINS,France,77.11A
LE SYMPA SNACK,00554155200039,FR32005541552,PISTE DE L'AIGUILLE,,04260,ALLOS,France,56.10C
BIGMAT,00562003400032,FR59005620034,438 RUE ROSA LUXEMBOURG,ZAC LA BLANCHE TACHE,80450,CAMON,France,46.73A
DUBOIS,00562011700019,FR17005620117,10 RUE DE LA TANNERIE,,80100,ABBEVILLE,France,70.10Z
ETABLISSEMENTS DECAYEUX,00572078400163,FR57005720784,13 RUE DES INDUSTRIES,,77460,SOUPPES-SUR-LOING,France,25.99A
ENTREPRISE COMBA,00575038500055,FR08005750385,PL DE L'EGLISE,,04700,ORAISON,France,43.99C
HOTEL ROYAL THALASSO,00578096000026,FR68005780960,6 AVENUE PIERRE LOTI,,44500,LA BAULE-ESCOUBLAC,France,55.10Z
LE PONTON,00578096000042,FR68005780960,LA PLAGE,FACE HOTEL ROYAL,44500,LA BAULE-ESCOUBLAC,France,56.10A
CENTRE DE THALASSOTHERAPIE LA BAULE,00578096000059,FR68005780960,AVENUE MARIE-LOUISE,,44500,LA BAULE-ESCOUBLAC,France,96.04Z
TENNIS COUNTRY CLUB,00578096000067,FR68005780960,113 AVENUE DU MARECHAL DE LATTRE DE TASSIGNY,,44500,LA BAULE-ESCOUBLAC,France,93.11Z
CASTEL MARIE-LOUISE,00578096000075,FR68005780960,AVENUE HEURTEAU,,44500,LA BAULE-ESCOUBLAC,France,55.10Z
GOLF CLUB LA BAULE,00578096000083,FR68005780960,DOMAINE DE ST DENAC,,44117,SAINT-ANDRE-DES-EAUX,France,93.11Z
CIRO'S LA BAULE,00578096000109,FR68005780960,5 ESPLANADE FRANCOIS ANDRE,SUR PLAGE FACE HOTEL HERMITAGE,44500,LA BAULE-ESCOUBLAC,France,56.10A
HOTEL HERMITAGE,00578096000117,FR68005780960,5 ESP LUCIEN BARRIERE,,44500,LA BAULE-ESCOUBLAC,France,55.10Z
ACTEMIUM ABBEVILLE,00582037800031,FR79005820378,140 RUE DU CHATEAU D'EAU,ZONE INDUSTRIELLE,80100,ABBEVILLE,France,43.21A
DEMOUSELLE TERTIAIRE,00582037800239,FR79005820378,26 RUE RENE DINGEON,,80100,ABBEVILLE,France,43.21A
DEMOUSELLE SOISSONS,00582037800254,FR79005820378,LE CHEMIN VERT,BATIMENT A,02200,MERCIN ET VAUX,France,43.21A
P.A.M.M.,00592019400031,FR88005920194,RTE NATIONALE 1,ZAC DE LA HAUTE BORNE,80420,FLIXECOURT,France,46.61Z
LIBRAIRIE COOP BREIZH,00608017000076,FR60006080170,60 RUE DU PORT,,56100,LORIENT,France,47.61Z
C.A.D.D.A.C.,00628030900102,FR47006280309,2 RUE JACQUES RIBOUD,LES SIX CROIX II,44480,DONGES,France,23.63Z
BLANC RENE,00634188700039,FR93006341887,IMPASSE DE DOUVILLE,,83390,PUGET-VILLE,France,01.21Z
